name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Cristiane Justino,Cyborg,21,2,0,172.72,65.77,172.72,Orthodox,09-07-1985
Cristiano Marcello,,13,6,0,175.26,70.31,182.88,Orthodox,03-12-1977
Cristina Stanciu,Barbie,5,2,0,160.02,52.16,,Orthodox,29-03-1994
Crosley Gracie,,2,2,0,175.26,86.18,,Orthodox,18-07-1979
Cub Swanson,,29,13,0,172.72,65.77,177.8,Orthodox,02-11-1983
Cung Le,,9,3,0,175.26,83.91,177.8,Southpaw,25-05-1972
Curt Warburton,,13,6,0,182.88,70.31,185.42,Orthodox,
Curtis Blaydes,Razor,17,4,0,193.04,120.2,203.2,Orthodox,18-02-1991
Curtis Millender,Curtious,17,5,0,187.96,77.11,193.04,Orthodox,01-12-1987
Curtis Stout,,11,12,1,185.42,83.91,,Southpaw,07-11-1973
Cyborg Abreu,,0,0,0,,,,,
Cynthia Calvillo,,9,6,1,162.56,52.16,162.56,Orthodox,13-07-1987
Cyril Asker,Silverback,9,4,0,182.88,112.04,187.96,Orthodox,24-12-1985
Cyrille Diabate,The Snake,19,10,1,198.12,92.99,205.74,Southpaw,06-10-1973
Cyrillo Padilha,,3,3,0,180.34,70.31,,,
Da Woon Jung,Sseda,15,5,1,193.04,92.99,198.12,Orthodox,07-12-1993
Dae Won Kim,,11,7,0,180.34,81.65,,Orthodox,
Daermisi Zhawupasi,,7,1,0,172.72,61.23,172.72,Switch,13-03-2000
Daichi Abe,,6,2,0,180.34,77.11,180.34,Orthodox,27-11-1991
Daijiro Matsui,,13,29,7,175.26,90.72,,Orthodox,05-12-1972
Daiju Takase,,12,15,2,182.88,77.11,,Southpaw,20-04-1978
Daiki Hata,DJ Taiki,17,11,7,167.64,63.05,,Orthodox,24-08-1982
Daisuke Nakamura,,28,19,1,170.18,69.85,,Orthodox,10-06-1980
Daisuke Sugie,Amazon,10,8,1,167.64,72.57,,Orthodox,
Dakota Bush,,8,4,0,177.8,70.31,185.42,Orthodox,09-06-1994
Dakota Cochrane,,29,12,0,172.72,70.31,,,
Dalcha Lungiambula,Champion,11,6,0,172.72,83.91,193.04,Orthodox,31-07-1987
Dale Hartt,,6,3,0,177.8,70.31,175.26,Orthodox,04-04-1979
Damacio Page,The Angel of Death,19,10,0,167.64,61.23,167.64,Orthodox,30-09-1982
DaMarques Johnson,Darkness,15,15,0,185.42,77.11,190.5,Orthodox,28-06-1982
Damian Grabowski,The Polish Pitbull,20,5,0,185.42,109.32,190.5,Orthodox,12-05-1980
Damian Stasiak,Webster,10,6,0,165.1,61.23,177.8,Orthodox,20-02-1990
Damien Brown,Beatdown,17,12,0,177.8,70.31,172.72,Orthodox,25-12-1984
Damien Trites,The Omen,7,6,0,180.34,74.84,,,
Damion Douglas,,4,1,0,,77.11,,,
Damir Hadzovic,The Bosnian Bomber,14,7,0,175.26,70.31,177.8,Orthodox,08-08-1986
Damir Ismagulov,Qazaq,24,3,0,177.8,70.31,187.96,Orthodox,03-02-1991
Damir Mirenic,Wolf,9,4,0,182.88,83.91,,Orthodox,02-08-1974
Da'Mon Blackshear,The Monster,14,6,1,177.8,61.23,182.88,Switch,12-08-1994
Damon Jackson,The Leech,22,6,1,180.34,65.77,180.34,Switch,08-08-1988
Damonte Robinson,,6,1,1,182.88,70.31,195.58,,
Dan Argueta,The Determined,9,2,0,170.18,61.23,172.72,Southpaw,13-08-1993
Dan Barrera,The Fireman,3,1,0,175.26,77.11,,Orthodox,23-12-1980
Dan Bobish,,17,9,0,187.96,156.49,,Southpaw,26-01-1970
Dan Charles,The Man,10,6,1,187.96,103.42,,,
Dan Christison,The Sandman,20,7,0,203.2,120.2,,Orthodox,26-04-1972
Dan Cramer,,11,4,0,187.96,77.11,,Orthodox,31-10-1985
Dan Evensen,The Viking,11,4,0,190.5,113.4,,Orthodox,01-06-1974
Dan Hardy,The Outlaw,25,10,0,182.88,77.11,187.96,Orthodox,17-05-1982
Dan Henderson,Hendo,32,15,0,180.34,83.91,187.96,Orthodox,24-08-1970
Dan Hooker,The Hangman,23,12,0,182.88,70.31,190.5,Switch,13-02-1990
Dan Ige,50K,17,7,0,170.18,65.77,180.34,Orthodox,06-08-1991
Dan Lauzon,The Upgrade,17,6,0,177.8,70.31,,Orthodox,30-03-1988
Dan Manasoiu,,0,0,0,,,,,
Dan Miller,,14,8,0,185.42,83.91,187.96,Orthodox,30-06-1981
Dan Molina,,13,9,0,177.8,97.98,,,
Dan Moret,The Hitman,13,6,0,182.88,70.31,185.42,Southpaw,21-11-1986
Dan O'Connor,Johnny Irish,6,6,0,162.56,52.16,,,
Dan Severn,The Beast,101,19,1,187.96,113.4,,Southpaw,08-06-1958
Dan Stittgen,The Anvil,12,5,0,185.42,77.11,,Orthodox,17-11-1980
Daniel Acacio,,30,18,0,172.72,81.65,,Orthodox,27-12-1977
Daniel Allen,,5,0,0,182.88,70.31,190.5,Southpaw,10-08-1992
Daniel Barez,,16,6,0,167.64,56.7,167.64,Orthodox,10-12-1988
Daniel Cormier,DC,22,3,0,180.34,106.59,182.88,Orthodox,20-03-1979
Daniel Gallemore,Big Kansas,7,3,0,195.58,120.2,,,
Daniel Gracie,,5,4,1,187.96,102.06,,Orthodox,
Daniel Jolly,The Werewolf of Texas,5,3,0,185.42,92.99,190.5,Orthodox,03-09-1984
Daniel Kelly,,13,4,0,182.88,83.91,177.8,Southpaw,31-10-1977
Daniel Lacerda,Miojo,11,5,0,167.64,56.7,177.8,Switch,05-06-1996
Daniel Marcos,Soncora,15,0,0,170.18,61.23,175.26,Orthodox,07-03-1993
Daniel McWilliams,The Animal,15,37,0,185.42,83.91,,,
Daniel Omielanczuk,,19,8,1,182.88,112.04,187.96,Southpaw,31-08-1982
Daniel Pereira,Gaucho,9,2,0,177.8,83.91,,,
Daniel Pineda,The Pit,28,15,0,170.18,65.77,175.26,Orthodox,06-08-1985
Daniel Puder,,8,0,0,190.5,106.59,,Orthodox,09-10-1981
Daniel Roberts,Ninja,15,7,0,177.8,77.11,187.96,Southpaw,05-08-1980
Daniel Rodriguez,D-Rod,17,4,0,185.42,77.11,187.96,Southpaw,31-12-1986
Daniel Santos,Willycat,12,2,0,170.18,61.23,170.18,Orthodox,12-03-1995
Daniel Sarafian,,10,6,0,175.26,83.91,185.42,Orthodox,21-08-1982
Daniel Schmitt,,2,3,0,,83.91,,,
Daniel Spitz,,6,3,0,200.66,111.13,208.28,Orthodox,31-07-1990
Daniel Spohn,Dragon,15,6,0,193.04,92.99,200.66,Southpaw,12-10-1984
Daniel Straus,,24,7,0,170.18,65.77,180.34,,
Daniel Swain,,20,10,1,175.26,65.77,177.8,Orthodox,30-01-1991
Daniel Teymur,Kid Dynamite,7,4,0,165.1,65.77,175.26,Orthodox,03-02-1988
Daniel Weichel,The Weasel,39,9,0,177.8,65.77,177.8,,
Daniel Zellhuber,Golden Boy,14,1,0,185.42,70.31,195.58,Switch,07-07-1999
Danielle Taylor,Dynamite,9,4,0,152.4,52.16,152.4,Orthodox,25-10-1989
Danillo Villefort,Indio,15,5,0,185.42,83.91,,Orthodox,08-05-1983
Danilo Belluardo,Caterpillar,12,5,0,182.88,70.31,187.96,Southpaw,21-07-1994
Danilo Marques,,11,4,0,198.12,92.99,195.58,Orthodox,26-12-1985
Danilo Suzart,,9,2,0,182.88,117.93,,Orthodox,04-12-1991
Danny Abbadi,The Assassin,4,6,0,180.34,70.31,,Orthodox,03-07-1983
Danny Barlow,LeftHand2God,7,0,0,187.96,77.11,200.66,Southpaw,02-08-1995
Danny Castillo,Last Call,17,10,0,175.26,70.31,180.34,Orthodox,25-08-1979
Danny Chavez,The Colombian Warrior,11,5,1,172.72,65.77,170.18,Orthodox,14-03-1987
Danny Davis,,13,11,1,187.96,77.11,,,
Danny Downes,,8,3,0,182.88,70.31,182.88,Orthodox,08-04-1986
Danny Henry,The Hatchet,12,4,0,182.88,65.77,185.42,Orthodox,17-07-1988
Danny Martinez,The Gremlin,21,8,0,167.64,56.7,170.18,Orthodox,14-06-1985
Danny Mitchell,The Cheesecake Assassin,19,9,1,187.96,77.11,,Orthodox,08-08-1986
Danny Navarro,,17,7,0,177.8,70.31,,,
Danny Roberts,Hot Chocolate,18,8,0,185.42,77.11,187.96,Southpaw,14-07-1987
Danny Sabatello,Italian Gangster,9,1,0,177.8,61.23,180.34,Orthodox,31-03-1993
Danny Silva,El Puma,8,1,0,180.34,65.77,177.8,Switch,30-01-1997
Dante Rivera,,16,7,0,185.42,83.91,,Southpaw,08-12-1974
Danyelle Wolf,,1,1,0,180.34,65.77,177.8,Orthodox,08-09-1983
Darian Weeks,,5,3,0,180.34,77.11,182.88,Orthodox,23-11-1993
Dariya Zheleznykova,,8,1,0,,61.23,,,
Darko Stosic,,13,4,0,182.88,92.99,193.04,Orthodox,09-02-1992
Daron Cruickshank,Detroit Superstar,18,10,0,172.72,70.31,182.88,Switch,11-06-1985
Darrel Gholar,,5,6,0,172.72,88,,Orthodox,
Darrell Horcher,The Saint,13,4,0,177.8,70.31,177.8,Southpaw,28-07-1987
Darrell Montague,Mongoose,13,5,0,167.64,56.7,170.18,Southpaw,03-11-1987
Darren Elkins,The Damage,28,11,0,177.8,65.77,180.34,Orthodox,16-05-1984
Darren Stewart,The Dentist,12,8,0,182.88,92.99,187.96,Orthodox,30-12-1990
Darren Till,The Gorilla,18,5,1,182.88,83.91,187.96,Southpaw,24-12-1992
Darren Uyenoyama,BC,10,6,0,167.64,56.7,165.1,Orthodox,15-10-1979
Darrick Minner,,26,14,0,170.18,65.77,175.26,Orthodox,28-04-1990
Darrill Schoonover,The Boss,14,8,0,187.96,99.79,,Orthodox,18-07-1985
Darrion Caldwell,The Wolf,10,1,0,177.8,61.23,,,
Darrius Flowers,Beast Mode,12,6,1,175.26,77.11,180.34,Orthodox,25-08-1994
Darryl Cobb,,6,8,0,175.26,83.91,,,
Dashawn Boatwright,"Buck, the 400-pound Silverback",3,1,0,182.88,92.99,,Orthodox,29-02-1988
Dashon Johnson,Flyboy,9,2,0,170.18,65.77,,Orthodox,25-01-1988
Dave Beneteau,Dangerous,6,5,1,187.96,113.4,,Orthodox,
Dave Berry,,0,1,0,,,,,
Dave Cochran,,26,29,1,167.64,70.31,,,
Dave Courchaine,,20,7,0,172.72,77.11,,,
Dave Dalgliesh,,30,19,2,187.96,92.99,,Orthodox,05-04-1978
Dave Galera,Scarecrow,5,1,0,180.34,61.23,,Orthodox,12-01-1978
Dave Herman,,22,6,0,193.04,109.77,195.58,Orthodox,03-10-1984
Dave Jansen,,20,4,0,175.26,70.31,185.42,Orthodox,21-08-1979
Dave Martin,,0,2,0,182.88,92.99,,,
Dave Menne,The Warrior,45,17,2,177.8,77.11,,Orthodox,29-07-1974
Dave Phillips,The Rockstar,13,7,0,182.88,83.91,,Orthodox,12-01-1980
Dave Rickels,The Caveman,18,4,0,180.34,70.31,,,
Dave Strasser,,25,8,0,177.8,77.11,,Orthodox,13-07-1969
Dave Terrel,The Bionic,7,7,0,172.72,77.11,,Southpaw,10-05-1978
Dave Zitanick,,5,7,0,,77.11,,,
Davey Grant,Dangerous,15,7,0,172.72,61.23,175.26,Orthodox,18-12-1985
Davi Bittencourt,The Black,14,4,0,165.1,61.23,165.1,Orthodox,12-10-1994
Davi Ramos,Tasmanian Devil,10,4,0,167.64,70.31,177.8,Orthodox,05-11-1986
David Abbott,Tank,10,15,0,182.88,120.2,,Switch,
David Avellan,,2,1,0,175.26,83.91,,Orthodox,
David Baron,,17,4,1,167.64,70.31,,Switch,15-02-1973
David Barrios,,4,8,0,167.64,65.77,,,
David Bielkheden,,24,12,0,177.8,70.31,180.34,Orthodox,06-06-1979
David Blanco,,2,0,0,170.18,65.77,,,
David Branch,,22,6,0,185.42,83.91,198.12,Orthodox,26-09-1981
David Dodd,,4,7,0,187.96,90.72,,Orthodox,22-09-1973
David Douglas,Tarzan,9,7,0,180.34,70.31,,,
David Dvorak,Undertaker,20,6,0,165.1,56.7,172.72,Orthodox,05-06-1992
David Gardner,,18,21,0,180.34,70.31,,Orthodox,17-05-1977
David Gomez,,1,2,0,,70.31,,,
David Heath,,18,7,0,180.34,92.99,182.88,Orthodox,10-02-1976
David Hood,,1,3,0,182.88,90.72,,,
David Hulett,Hollywood,22,10,0,177.8,77.11,,,
David Kaplan,Diamond,3,4,0,170.18,70.31,,Orthodox,16-11-1979
David Lee,,12,10,0,177.8,70.31,,Orthodox,
David Levicki,,1,3,0,195.58,124.74,,,
David Loiseau,The Crow,23,11,0,182.88,83.91,193.04,Orthodox,17-12-1979
David Marshall,,8,4,0,187.96,77.11,,,
David Michaud,BullDawg,11,3,0,175.26,70.31,,Orthodox,10-11-1988
David Mitchell,Daudi,22,7,0,182.88,77.11,190.5,Orthodox,24-10-1979
David Onama,,11,2,0,180.34,65.77,187.96,Orthodox,07-06-1994
David Rasouri,,2,3,0,170.18,70.31,,,
David Roberts,,5,8,0,185.42,77.11,,Orthodox,15-11-1975
David Smith,,5,1,0,,70.31,,,
David Terrell,The Soul Assassin,6,2,0,185.42,83.91,,Southpaw,09-01-1978
David Teymur,,8,2,0,175.26,70.31,185.42,Southpaw,01-05-1989
David Velasquez,Little,10,10,0,165.1,65.77,,Orthodox,
David Zawada,Sagat,17,7,0,182.88,77.11,190.5,Orthodox,01-08-1990
Dayana Silva,,7,4,0,170.18,61.23,,Orthodox,27-08-1990
Dean Barry,The Sniper,4,2,0,177.8,77.11,182.88,Orthodox,03-07-1992
Dean Hancock,The Hammer,2,1,0,,70.31,,,
Dean Lister,The Boogeyman,13,7,0,185.42,83.91,190.5,Orthodox,13-02-1976
DeAnna Bennett,The Argentine Assassin,8,3,1,162.56,56.7,172.72,Orthodox,18-11-1984
Deiveson Figueiredo,Deus da Guerra,22,3,1,165.1,61.23,172.72,Orthodox,18-12-1987
Deividas Taurosevicius,,17,5,0,175.26,65.77,172.72,Southpaw,28-08-1977
Del Hawkins,The Filipino Delight,22,17,0,165.1,61.23,,Orthodox,
Delson Heleno,Pe De Chumbo,29,10,0,180.34,83.91,,Orthodox,16-11-1977
DeMarco Villalona,,1,3,0,175.26,83.91,,,
Demetrious Johnson,Mighty Mouse,27,3,1,160.02,56.7,167.64,Orthodox,13-08-1986
Demetrius Gioulacos,,0,1,0,180.34,83.91,,,
Demian Maia,,28,11,0,185.42,77.11,182.88,Southpaw,06-11-1977
Denis Kang,,35,16,2,180.34,83.91,195.58,Orthodox,17-09-1977
Denis Sobolev,,4,7,0,190.5,97.98,,Orthodox,
Denis Stojnic,,13,3,0,182.88,111.13,,Orthodox,02-02-1980
Denis Tiuliulin,,10,9,0,185.42,83.91,195.58,Orthodox,17-05-1988
Denise Gomes,Dee,8,3,0,157.48,52.16,160.02,Orthodox,30-12-1999
Dennis Bermudez,The Menace,17,9,0,167.64,70.31,167.64,Orthodox,13-12-1986
Dennis Bryant,The Beard,5,2,0,182.88,92.99,,Orthodox,18-10-1985
Dennis Buzukja,The Great,8,4,0,175.26,65.77,177.8,Switch,01-10-1997
Dennis Dombrow,,7,5,0,,65.77,,,
Dennis Hallman,Superman,53,20,2,175.26,70.31,182.88,Orthodox,02-12-1975
Dennis Olson,,14,11,0,182.88,77.11,,,
Dennis Reed,,45,62,1,,92.99,,Orthodox,
Dennis Siver,,23,11,0,167.64,65.77,177.8,Orthodox,13-01-1979
Denys Bondar,Psycho,16,5,0,167.64,56.7,175.26,Orthodox,27-06-1992
Dequan Townsend,The Tarantula,21,12,0,190.5,92.99,200.66,Orthodox,11-05-1986
Derek Anderson,Barbaric,14,3,0,182.88,70.31,,,
Derek Bohi,Marshmallow,8,5,0,193.04,117.93,,,
Derek Brunson,The One,23,9,0,185.42,83.91,195.58,Southpaw,04-01-1984
Derek Campos,The Stallion,19,6,0,175.26,70.31,,,
Derek Downey,,11,4,0,185.42,83.91,,Orthodox,27-04-1980
Derek Getzel,The Pretzel,8,5,0,182.88,70.31,,,
Deron Winn,,7,3,0,167.64,83.91,177.8,Orthodox,13-06-1989
Derrick Burnsed,,1,0,3,,70.31,,,
Derrick Krantz,D-Rock,22,12,0,177.8,77.11,182.88,Orthodox,13-01-1988
Derrick Lewis,The Black Beast,27,12,0,190.5,117.93,200.66,Orthodox,07-02-1985
Derrick Mehmen,Caveman,19,9,0,193.04,92.99,,,
Derrick Noble,The Eraser,27,15,1,175.26,77.11,,Southpaw,14-08-1978
Deshaun Johnson,,6,9,0,,75.75,,,
Desmond Green,The Predator,23,8,0,177.8,70.31,185.42,Southpaw,11-10-1989
Desmond Torres,,7,2,0,167.64,61.23,175.26,Orthodox,06-01-1997
Devin Clark,Brown Bear,14,8,0,182.88,92.99,190.5,Orthodox,12-04-1990
Devin Cole,,20,10,1,193.04,108.86,,Orthodox,01-10-1976
Devin Johnson,,1,1,1,,,,,
Devin Powell,,9,4,0,182.88,70.31,185.42,Orthodox,01-03-1988
Devin Smyth,,4,2,0,177.8,77.11,182.88,Switch,21-07-1995
Devonte Smith,King Kage,11,4,0,175.26,70.31,193.04,Orthodox,30-07-1993
Dewey Cooper,The Black Cobra,2,1,0,,92.99,,,
Dhafir Harris,Dada 5000,2,0,0,,116.57,,,
Dhiego Lima,,17,9,0,187.96,77.11,190.5,Orthodox,31-01-1989
Diana Belbita,The Warrior Princess,15,8,0,170.18,52.16,172.72,Orthodox,26-06-1996
Diego Brandao,DB,22,11,0,170.18,65.77,162.56,Orthodox,27-05-1987
Diego Ferreira,,18,5,0,175.26,70.31,187.96,Orthodox,18-01-1985
Diego Henrique da Silva,Gaucho,8,4,0,187.96,83.91,,Orthodox,22-08-1986
Diego Lopes,,23,6,0,180.34,65.77,182.88,Orthodox,30-12-1994
Diego Nunes,The Gun,19,7,0,167.64,65.77,170.18,Orthodox,30-11-1982
Diego Rivas,Pitbull,10,2,0,172.72,65.77,175.26,Orthodox,11-11-1991
Diego Sanchez,Nightmare,31,13,0,177.8,77.11,182.88,Southpaw,31-12-1981
Diego Saraiva,The Octopus,22,20,1,167.64,70.31,,Orthodox,23-04-1982
Dieusel Berto,,0,3,0,175.26,90.72,,,
Dileno Lopes,,19,3,0,165.1,61.23,,,
Dillon Smith,,0,0,0,182.88,77.11,,,
Dimitiri Wanderley,,5,2,0,,92.99,,Orthodox,
Din Thomas,Dinyero,26,9,0,175.26,70.31,,Orthodox,28-09-1976
Dinis Paiva Jr.,Sweetbread,13,8,0,175.26,65.77,180.34,Southpaw,26-05-1988
Dino Pezao,,1,3,0,,92.99,,Orthodox,
Dion Staring,Soldier,35,14,0,185.42,106.59,,Orthodox,09-06-1978
Dione Barbosa,The Witch,6,2,0,167.64,56.7,167.64,Orthodox,08-05-1992
Dmitri Stepanov,,0,1,0,190.5,98.43,,Orthodox,
Dmitrii Smoliakov,The Lifeguard,9,3,0,187.96,114.76,187.96,Switch,05-08-1982
Dmitry Poberezhets,,24,5,1,190.5,107.5,,,
Dmitry Sosnovskiy,Wicked Machine,11,0,0,190.5,108.86,195.58,Orthodox,06-07-1989
Dokonjonosuke Mishima,,21,7,2,170.18,70.31,,Southpaw,19-04-1972
Domingo Pilarte,Son of Fire,8,3,0,182.88,61.23,185.42,Southpaw,05-01-1990
Dominic Brown,,16,23,0,180.34,86.18,,,
Dominic Clark,,10,7,0,177.8,70.31,,,
Dominic Waters,Sho Nuff,9,5,0,185.42,77.11,200.66,Orthodox,11-04-1989
Dominick Cruz,The Dominator,24,4,0,172.72,61.23,172.72,Orthodox,09-03-1985
Dominick Reyes,The Devastator,12,4,0,193.04,92.99,195.58,Southpaw,26-12-1989
Dominique Steele,Non-Stop Action-Packed,14,9,0,177.8,77.11,187.96,Orthodox,27-01-1988
Don Carlo-Clauss,,10,7,0,,77.11,,,
Don Frye,The Predator,20,9,1,185.42,99.34,,Orthodox,23-11-1965
Don Madge,Magic Man,9,3,1,182.88,70.31,182.88,Southpaw,12-11-1990
Don Shainis,Shameless,12,5,0,167.64,65.77,170.18,Orthodox,16-09-1990
Donald Cerrone,Cowboy,36,17,0,185.42,70.31,185.42,Orthodox,29-03-1983
Donald Sanchez,,31,17,0,177.8,65.77,,,
Donavon Frelow,,6,3,0,170.18,61.23,,Orthodox,20-01-1985
Dong Hyun Kim,Stun Gun,22,4,1,187.96,77.11,193.04,Southpaw,17-11-1981
Dong Hyun Ma,Maestro,16,11,3,180.34,70.31,177.8,Orthodox,09-09-1988
Dong Sik Yoon,,9,9,0,182.88,83.91,,Orthodox,24-08-1972
Dongi Yang,The Ox,13,3,0,177.8,83.91,185.42,Southpaw,07-12-1984
Donnie Chappell,,0,1,0,180.34,80.74,,Southpaw,
Donnie Liles,,17,7,0,175.26,77.11,,Orthodox,
Donny Walker,Eagle Eye,15,10,0,175.26,61.23,,,
Donovan Beard,The Highlight Reel,7,2,0,187.96,83.91,198.12,Orthodox,05-11-1989
Don'Tale Mayes,Lord Kong,10,6,0,198.12,117.93,205.74,Orthodox,16-01-1992
Dooho Choi,The Korean Superboy,14,4,1,177.8,65.77,177.8,Orthodox,10-04-1991
Dorian Price,,8,5,0,190.5,77.11,,Southpaw,20-08-1977
Dos Caras Jr.,,9,5,0,193.04,102.06,,Orthodox,25-05-1977
Doug Evans,,13,10,0,175.26,70.31,,Orthodox,10-10-1980
Doug Kay,,0,0,0,,,,,
Doug Marshall,The Rhino,18,8,0,177.8,92.99,,Orthodox,09-09-1975
Douglas Lima,The Phenom,29,6,0,185.42,77.11,,,
Douglas Silva de Andrade,D Silva,29,5,0,170.18,61.23,172.72,Orthodox,22-06-1985
Drakkar Klose,,14,2,1,175.26,70.31,177.8,Orthodox,09-03-1988
Drako Rodriguez,,7,3,0,172.72,61.23,175.26,Orthodox,16-06-1996
Drew Brokenshire,,16,6,0,,,,,
Drew Dimanlig,,3,4,0,,83.91,,,
Drew Dober,,27,12,0,172.72,70.31,177.8,Southpaw,19-10-1988
Drew Fickett,The Master,42,21,0,177.8,70.31,177.8,Orthodox,14-12-1979
Drew McFedries,The Massacre,12,7,0,182.88,83.91,182.88,Southpaw,27-07-1978
Drew Pendleton,,5,0,0,,65.77,,,
Dricus Du Plessis,Stillknocks,20,2,0,185.42,83.91,193.04,Switch,14-01-1994
Duane Ludwig,Bang,21,14,0,177.8,77.11,177.8,Orthodox,04-08-1978
Duda Santana,Cowboyzinha,3,1,0,170.18,65.77,185.42,Orthodox,10-01-1996
Dusko Todorovic,Thunder,12,4,0,185.42,83.91,187.96,Orthodox,19-05-1994
Dustin Hazelett,McLovin,12,7,0,185.42,77.11,193.04,Orthodox,29-04-1986
Dustin Jacoby,The Hanyak,19,7,1,190.5,92.99,193.04,Orthodox,04-04-1988
Dustin Joynson,,5,0,0,198.12,110.68,198.12,Orthodox,14-10-1985
Dustin Kimura,The Diamond,11,3,0,170.18,61.23,180.34,Orthodox,21-05-1989
Dustin Moore,,0,2,0,162.56,56.7,,,
Dustin Neace,The Beast,25,21,1,175.26,65.77,,,
Dustin Ortiz,,19,8,0,165.1,56.7,165.1,Orthodox,25-12-1988
Dustin Pague,The Disciple,12,11,0,175.26,61.23,187.96,Orthodox,05-08-1987
Dustin Poirier,The Diamond,29,8,0,175.26,70.31,182.88,Southpaw,19-01-1989
Dustin Stoltzfus,,15,5,0,182.88,83.91,190.5,Orthodox,15-11-1991
Dustin West,,6,6,0,180.34,77.11,,,
Dwayne Cason,,1,1,0,177.8,96.16,,Orthodox,
Dwight Grant,The Body Snatcher,11,6,0,185.42,83.91,193.04,Switch,14-09-1984
Dwight Joseph,,5,0,0,167.64,61.23,,Switch,16-08-1989
Dylan Andrews,The Villain,18,7,0,185.42,83.91,187.96,Switch,15-11-1979
Dylan Budka,The Mindless Hulk,7,2,0,182.88,83.91,190.5,Switch,14-01-2000
Dylan Lockard,,6,2,0,175.26,65.77,182.88,Orthodox,19-05-1992
Dylan Mantello,The Quiet Man,7,3,0,185.42,70.31,185.42,Orthodox,19-11-1992
Dylan Potter,Big Poppa,10,6,0,187.96,102.06,195.58,Switch,14-01-1995
Dylan Salvador,,5,2,0,175.26,70.31,175.26,Southpaw,20-05-1993
Ebenezer Fontes Braga,Pitbull,13,7,2,182.88,90.26,,Orthodox,14-04-1969
Ed Herman,Short Fuse,27,16,0,185.42,92.99,195.58,Orthodox,02-10-1980
Ed Ratcliff,9mm,7,3,0,177.8,70.31,180.34,Orthodox,05-03-1983
Eddie Alvarez,,29,6,0,175.26,70.31,175.26,Orthodox,11-01-1984
Eddie Gordon,Truck,8,4,0,182.88,83.91,193.04,Orthodox,22-07-1983
Eddie Mendez,,8,3,1,177.8,83.91,,,
Eddie Ruiz,,1,1,0,170.18,70.31,,Orthodox,10-06-1967
Eddie Sanchez,The Manic Hispanic,15,8,0,187.96,104.33,187.96,Orthodox,04-11-1982
Eddie Wineland,,24,16,1,170.18,61.23,175.26,Orthodox,26-06-1984
Eddie Yagin,The Filipino Phenom,16,7,1,170.18,65.77,,Orthodox,23-03-1979
Eddy Ellis,Fast,21,16,1,175.26,77.11,,Orthodox,
Eddy Millis,,0,2,0,185.42,83.91,,,
Edgar Cardenas,Kitty Katt,4,1,0,,65.77,,,
Edgar Chairez,Puro Chicali,10,5,0,170.18,56.7,180.34,Orthodox,27-01-1996
Edgar Garcia,,14,5,0,177.8,77.11,180.34,Orthodox,22-02-1984
Edilberto de Oliveira,Crocota,29,15,2,182.88,77.11,,Orthodox,22-11-1982
Edimilson Souza,Kevin,15,5,0,182.88,65.77,187.96,Orthodox,17-10-1984
Edivan Santos,Pe De Sapo,12,3,1,193.04,112.49,198.12,Orthodox,03-05-1992
Edmen Shahbazyan,The Golden Boy,12,4,0,187.96,83.91,190.5,Orthodox,20-11-1997
Ednaldo Oliveira,Lula,17,3,1,195.58,92.99,,Orthodox,19-02-1984
Edson Barboza,Junior,24,11,0,180.34,65.77,190.5,Orthodox,21-01-1986
Edson Berto,Little Tiger,17,12,1,167.64,70.31,,Orthodox,05-07-1983
Edson Drago,,11,7,0,193.04,99.79,,Orthodox,29-08-1977
Edson Gomez,,6,2,0,172.72,77.11,175.26,Switch,23-02-1991
Edson Silva,Paredao,14,12,0,,92.99,,Orthodox,
Eduarda Moura,Ronda,10,0,0,167.64,52.16,167.64,Orthodox,28-02-1994
Eduardo Bustillos,,5,3,0,172.72,61.23,,,
Eduardo Dantas,Dudu,20,4,0,177.8,61.23,,,
Eduardo Garagorri,,13,2,0,175.26,65.77,177.8,Orthodox,28-05-1989
Eduardo Neves,Bebezao,7,2,0,187.96,119.29,198.12,Orthodox,16-03-2000
Eduardo Pamplona,,16,4,0,180.34,77.11,,,
Eduardo Torres Caut,Cyborg,16,2,0,170.18,61.23,177.8,Orthodox,26-04-1995
Edward Faaloloto,,2,5,0,,70.31,177.8,Orthodox,15-07-1984
Edwin Aguilar,Tigre,26,19,0,177.8,83.91,,,
Edwin DeWees,Babyface,38,17,0,185.42,83.91,,Orthodox,07-08-1982
Edwin Figueroa,El Feroz,9,5,0,170.18,61.23,175.26,Orthodox,31-07-1984
Efrain Escudero,Hecho En Mexico,28,12,0,175.26,70.31,180.34,Orthodox,15-01-1986
Egan Inoue,,13,8,0,175.26,86.18,,Southpaw,04-07-1965
Egidijus Valavicius,,29,12,0,182.88,90.72,,Orthodox,
Eiji Ishikawa,,29,24,3,177.8,77.11,,,
Eiji Mitsuoka,,18,9,2,170.18,65.77,,Southpaw,01-01-1976
Elaina Maxwell,Beef,7,4,0,172.72,65.77,,Orthodox,16-12-1978
Eldari Kurtanidze,,0,1,0,167.64,106.59,,Orthodox,16-04-1972
Eldo Xavier Dias,,0,1,0,180.34,81.65,,,
Eli Aronov,The Israeli Tank,6,1,0,177.8,83.91,182.88,Orthodox,06-06-1996
Eli Tamez,Tomahawk,10,0,0,170.18,61.23,,,
